smoothed_wcli,smoothed_wlarge_event_1d,smoothed_wrestaurant_1d,smoothed_wspent_time_1d,smoothed_wwork_outside_home_1d,smoothed_wothers_masked,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d
3.2443795,12.6270982,18.5712664,34.412959,30.4878524,57.3347853,2.6382001,29.2884291
0.4212454,9.2315455,13.1322582,31.0319297,31.2421795,65.7565889,15.9101673,8.8436859
1.4012543,9.2858514,18.4657103,33.8944711,26.6143846,64.2668323,4.7153096,30.3024645
2.0828983,9.3648621,17.5930557,30.6745318,24.4672354,84.3602383,4.0056789,22.7109349
1.3061396,6.4183424,13.8140717,30.4899392,24.3710773,87.7642905,6.2496587,21.9122766
2.1778126,10.3586735,14.7498422,32.7366128,28.378487,64.0680868,6.519826,26.660268
1.0553638,8.6244123,7.4256107,29.4206333,24.7927702,78.5500357,4.925455,19.4168617
0.8772313,3.4430921,5.0254145,22.3517642,19.8030687,93.2923454,3.1852345,14.2357028
1.1765325,2.8253465,3.4177011,22.5301386,22.9401682,92.527427,3.7431122,15.7374512
1.5602462,5.3795166,5.1818818,24.4558511,21.6322996,86.223676,3.0593543,28.6849816
1.5968067,5.8402372,9.5985073,24.8629164,22.1138353,81.370961,3.5276318,42.0371214
2.2339953,2.8876523,3.9854979,18.9817091,22.9437291,90.030644,3.912001,24.7596672
1.3987552,4.1717782,7.7789366,24.2552571,25.4543867,87.5519632,3.4616859,20.839975
1.6332598,5.2856623,6.2475784,22.75345,21.9411053,88.5106491,1.9001036,25.7621963
0.8031218,3.7766849,5.9471568,27.9032289,20.0952535,88.0251102,5.648511,23.1833874
2.9460019,4.5676792,5.4622221,21.8811375,24.6120246,87.9934782,3.0557164,36.7049233
1.2038143,5.5436551,8.0095546,26.8151516,24.1043482,85.9704761,2.9148135,17.006905
0.1519462,1.3711911,3.4961948,19.7674587,14.8699084,96.594212,3.5060684,2.7427348
0.2551891,3.3359193,4.759558,19.6938879,18.694098,94.4273448,2.0256387,11.8247372
0.53841,2.5977573,4.5865595,18.9830808,19.6246777,93.0642247,3.6884773,13.1460796
1.2667305,2.6754904,1.637456,22.7407988,19.3665471,91.404112,3.8088336,14.2959414
